activity_id	method	objective	expected_evidence
ACT-NEED-REVIEW	review	Confirm each stakeholder need is understandable, sourced, consistent with the context, and represented by system requirements.	Review record and need-to-system trace report
ACT-M2M-COMPAT	test	Demonstrate data and power interoperability with representative conforming logger interfaces, including the mount-duration bound.	Protocol, interface configurations, captured transfers, power measurements, and mount timing
ACT-TIME	test	Measure synchronization error and verify logger-relative to UTC association and configured local-time presentation.	Clock-reference record, observed timestamps, and error calculations
ACT-LOCAL-STATE	demonstration	Exercise each local state and control and observe the display, mute behavior, and disabled-monitoring indication.	Procedure, device configuration, photographs or captured display states, and observations
ACT-ALARM-LATENCY	test	Inject alarm conditions and measure local annunciation, remote submission latency, content, and gateway outcome reporting.	Injected event log, synchronized timestamps, sound measurement, notification capture, and results
ACT-POWER-ENDURANCE	test	Operate the device without supplied power at 43 degrees Celsius for 240 hours while exercising allocated essential functions and power limits.	Chamber and device configuration, calibrated measurements, event record, and endurance observations
ACT-NETWORK-RECOVERY	test	Interrupt and restore communications and verify retention, automatic reconnect, idempotent replay, and explicit interval status.	Network-fault schedule, device and service logs, record comparison, and status captures
ACT-DATA-STANDARD	inspection	Compare acquired, transmitted, stored, and exported objects with the declared WHO data format and verify logger files remain unmodified.	Schema or field comparison and file-digest comparison
ACT-RETENTION	analysis	Inspect storage lifecycle rules and capacity evidence against the three-year retention obligation for every record class.	Lifecycle configuration, capacity analysis, and record-class inventory
ACT-ACCESS	test	Attempt permitted and prohibited data and administrative operations using representative employer and role assignments.	Authorization matrix, test identities, requests, and observed decisions
ACT-EXPORT	test	Request boundary-spanning exports and compare package content, documentation, and digest with the retained source records.	Export request, package, source comparison, and independent digest result
ACT-CONFIG-AUDIT	test	Change each controlled configuration class and verify actor, time, previous value, and new value are recorded before application.	Change requests and resulting immutable audit records
ACT-DISPOSITION	inspection	Inspect every excursion presentation and export for the required disposition boundary and absence of automated disposition classifications.	Interface and export inspection record
ACT-DIAGNOSTIC	test	Inject interface, power, device, and communication faults and verify code distinction, persistence, and field-service access.	Fault-injection procedure, observed codes, retention record, and service demonstration
ACT-INTEGRITY	test	Alter and truncate transferred and exported artifacts and verify detection, rejection from operational use, and status reporting.	Original and modified artifacts, digests, service outcomes, and interface captures
ACT-ENCLOSURE	inspection	Inspect enclosure qualification evidence against the required IP64 classification.	Supplier or laboratory classification report tied to the tested enclosure configuration
ACT-SYSTEM-TRACE	analysis	Review system requirements against allocated lower-level requirements and verification coverage for omitted behavior or conflicting bounds.	Trace and coverage review report
