selection	verdict	participant_line	participant_column	maintained_line	maintained_column	disposition
fixtures/0.1/valid/	equal	-	-	-	-	equal
fixtures/0.1/invalid/dangling-reference.mreq	equal	5	13	5	13	equal
fixtures/0.1/invalid/duplicate-id/	equal	1	13	1	13	equal
fixtures/0.1/invalid/duplicate-relationship.mreq	equal	6	13	6	1	permitted diagnostic-anchor choice
fixtures/0.1/invalid/missing-statement.mreq	equal	3	1	3	1	equal
fixtures/0.1/invalid/unknown-field.mreq	equal	5	1	5	1	equal
fixtures/0.1/invalid/unterminated-math.mreq	equal	8	1	6	3	permitted diagnostic-anchor choice
fixtures/0.2/valid/	equal	-	-	-	-	equal
fixtures/0.2/invalid/comment-before-body.mreq	equal	4	1	3	1	permitted diagnostic-anchor choice
fixtures/0.2/invalid/comment-only.mreq	equal	1	1	1	1	equal
fixtures/0.2/invalid/comment-splits-math.mreq	equal	6	1	4	3	permitted diagnostic-anchor choice
fixtures/0.2/invalid/comment-splits-prose.mreq	equal	5	1	6	1	permitted diagnostic-anchor choice
fixtures/0.2/invalid/leading-non-ascii-whitespace.mreq	equal	2	8	2	8	equal
fixtures/0.2/invalid/prohibited-c1-control.mreq	equal	2	10	2	10	equal
fixtures/0.2/invalid/supplementary-scalar-column.mreq	equal	2	10	2	10	equal
fixtures/0.2/invalid/trailing-non-ascii-whitespace.mreq	equal	2	36	2	36	equal
