selection	verdict	decisive_clause	source_path	line	column	reason
fixtures/0.1/valid/	accepted	Clause 2.2 [conformance.set]	fixtures/0.1/valid/requirements.mreq	-	-	The selected nonempty file is physically and syntactically conforming; IDs are unique, all targets resolve, and all source-set constraints hold.
fixtures/0.1/invalid/dangling-reference.mreq	rejected	Clause 11.2 [validity.reference]	fixtures/0.1/invalid/dangling-reference.mreq	5	13	The decomposition target MISSING identifies no requirement in the complete selected source set.
fixtures/0.1/invalid/duplicate-id/	rejected	Clause 11.1 [validity.identity]	fixtures/0.1/invalid/duplicate-id/two.mreq	1	13	The identifier DUPLICATE also occurs in one.mreq, so it is not unique within the selected source set.
fixtures/0.1/invalid/duplicate-relationship.mreq	rejected	Clause 10 item 10 [validity.file]	fixtures/0.1/invalid/duplicate-relationship.mreq	6	13	The CHILD record repeats the decomposition target PARENT.
fixtures/0.1/invalid/missing-statement.mreq	rejected	Clause 8.4 [syntax.record]	fixtures/0.1/invalid/missing-statement.mreq	3	1	The record closes before the required exactly-once statement field appears.
fixtures/0.1/invalid/unknown-field.mreq	rejected	Clause 8.4 [syntax.record]	fixtures/0.1/invalid/unknown-field.mreq	5	1	priority is not a defined field and occurs where only a permitted following field or the closer may appear.
fixtures/0.1/invalid/unterminated-math.mreq	rejected	Clause 9.3 [interpretation.math]	fixtures/0.1/invalid/unterminated-math.mreq	8	1	The statement's math latex block reaches the record closer without an end math marker.
fixtures/0.2/valid/	accepted	Clause 2.2 [conformance.set]	fixtures/0.2/valid/requirements.mreq	-	-	The selected nonempty file conforms, and every comment is in a permitted nonsemantic position; IDs are unique and all targets resolve.
fixtures/0.2/invalid/comment-before-body.mreq	rejected	Clause 8.1.1 [syntax.comment]	fixtures/0.2/invalid/comment-before-body.mreq	4	1	A source comment occurs between the statement label and its first body line.
fixtures/0.2/invalid/comment-only.mreq	rejected	Clause 8.5 [syntax.separation]	fixtures/0.2/invalid/comment-only.mreq	1	1	A source file containing comments but no requirement record is invalid.
fixtures/0.2/invalid/comment-splits-math.mreq	rejected	Clause 8.1.1 [syntax.comment]	fixtures/0.2/invalid/comment-splits-math.mreq	6	1	A source comment occurs within a statement math block.
fixtures/0.2/invalid/comment-splits-prose.mreq	rejected	Clause 8.1.1 [syntax.comment]	fixtures/0.2/invalid/comment-splits-prose.mreq	5	1	A source comment occurs between two lines of a prose body.
fixtures/0.2/invalid/leading-non-ascii-whitespace.mreq	rejected	Clause 8.3 [syntax.scalar]	fixtures/0.2/invalid/leading-non-ascii-whitespace.mreq	2	8	The title value begins with U+00A0 NO-BREAK SPACE, a prohibited scalar boundary whitespace character.
fixtures/0.2/invalid/prohibited-c1-control.mreq	rejected	Clause 6.3 [physical.characters]	fixtures/0.2/invalid/prohibited-c1-control.mreq	2	10	Decoded source contains prohibited U+0080 in the title line.
fixtures/0.2/invalid/supplementary-scalar-column.mreq	rejected	Clause 6.3 [physical.characters]	fixtures/0.2/invalid/supplementary-scalar-column.mreq	2	10	Decoded source contains prohibited U+007F; the preceding U+1F600 advances the column by one Unicode scalar, placing U+007F at column 10.
fixtures/0.2/invalid/trailing-non-ascii-whitespace.mreq	rejected	Clause 8.3 [syntax.scalar]	fixtures/0.2/invalid/trailing-non-ascii-whitespace.mreq	2	36	The title value ends with U+00A0 NO-BREAK SPACE, a prohibited scalar boundary whitespace character.
